title,genre,link
Saint Seiya,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",https://myanimelist.net/anime/1254/Saint_Seiya
Overlord II,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']",https://myanimelist.net/anime/35073/Overlord_II
Neko no Ongaeshi,"['Adventure', 'Drama', 'Fantasy']",https://myanimelist.net/anime/597/Neko_no_Ongaeshi
Musekinin Kanchou Tylor,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']",https://myanimelist.net/anime/569/Musekinin_Kanchou_Tylor
Love Live! School Idol Project 2nd Season,"['Music', 'School', 'Slice of Life']",https://myanimelist.net/anime/19111/Love_Live_School_Idol_Project_2nd_Season
Little Witch Academia,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']",https://myanimelist.net/anime/14349/Little_Witch_Academia
Kuroshitsuji,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",https://myanimelist.net/anime/4898/Kuroshitsuji
InuYasha (TV),"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']",https://myanimelist.net/anime/249/InuYasha_TV
Danshi Koukousei no Nichijou Specials,"['Comedy', 'School', 'Shounen', 'Slice of Life']",https://myanimelist.net/anime/12893/Danshi_Koukousei_no_Nichijou_Specials
Colorful (Movie),"['Slice of Life', 'Supernatural', 'Drama']",https://myanimelist.net/anime/8142/Colorful_Movie
Bishoujo Senshi Sailor Moon S,"['Drama', 'Magic', 'Romance', 'Shoujo']",https://myanimelist.net/anime/532/Bishoujo_Senshi_Sailor_Moon_S
Baby Steps,"['Romance', 'School', 'Shounen', 'Sports']",https://myanimelist.net/anime/21185/Baby_Steps
Yuusha-Ou GaoGaiGar,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",https://myanimelist.net/anime/890/Yuusha-Ou_GaoGaiGar
Vampire Hunter D (2000),"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']",https://myanimelist.net/anime/543/Vampire_Hunter_D_2000
Top wo Nerae! Gunbuster,"['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']",https://myanimelist.net/anime/949/Top_wo_Nerae_Gunbuster
Seitokai Yakuindomo Movie,"['Slice of Life', 'Comedy', 'School', 'Shounen']",https://myanimelist.net/anime/34504/Seitokai_Yakuindomo_Movie
Maria-sama ga Miteru 3rd,"['Drama', 'School', 'Shoujo Ai', 'Slice of Life']",https://myanimelist.net/anime/1729/Maria-sama_ga_Miteru_3rd
Magic Kaito,"['Adventure', 'Comedy', 'Romance', 'Shounen']",https://myanimelist.net/anime/8310/Magic_Kaito
Hoozuki no Reitetsu 2nd Season,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",https://myanimelist.net/anime/35075/Hoozuki_no_Reitetsu_2nd_Season
Hibike! Euphonium Movie 3: Chikai no Finale,"['Drama', 'Music', 'School']",https://myanimelist.net/anime/35678/Hibike_Euphonium_Movie_3__Chikai_no_Finale
Hataraku Maou-sama!,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']",https://myanimelist.net/anime/15809/Hataraku_Maou-sama
Haikyuu!! Movie 4: Concept no Tatakai,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",https://myanimelist.net/anime/35111/Haikyuu_Movie_4__Concept_no_Tatakai
Detective Conan Movie 08: Time Travel of the Silver Sky,"['Adventure', 'Mystery']",https://myanimelist.net/anime/7304/Detective_Conan_Movie_08__Time_Travel_of_the_Silver_Sky
Detective Conan Movie 07: Crossroad in the Ancient Capital,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",https://myanimelist.net/anime/1366/Detective_Conan_Movie_07__Crossroad_in_the_Ancient_Capital
Yuru Yuri Nachuyachumi!,"['Comedy', 'Shoujo Ai', 'Slice of Life']",https://myanimelist.net/anime/23225/Yuru_Yuri_Nachuyachumi
Uchouten Kazoku,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']",https://myanimelist.net/anime/17909/Uchouten_Kazoku
Working'!!,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",https://myanimelist.net/anime/10521/Working
Tokyo Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",https://myanimelist.net/anime/22319/Tokyo_Ghoul
Seihou Bukyou Outlaw Star,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Comedy']",https://myanimelist.net/anime/400/Seihou_Bukyou_Outlaw_Star
Saiyuuki Gaiden,"['Action', 'Adventure', 'Drama', 'Fantasy']",https://myanimelist.net/anime/9088/Saiyuuki_Gaiden
Planetarian: Hoshi no Hito,"['Sci-Fi', 'Drama']",https://myanimelist.net/anime/33190/Planetarian__Hoshi_no_Hito
